Year,Team,NAME ,No.,Pos,Ht,Wt,Age,Exp,College,FirstName,LastName,Ft,In,Inches,,,,,
2022,New Orleans,Paulson Adebo,29,CB,6-1,192,23,2,Stanford,Paulson,Adebo,6,1,73,,,,,
2022,Arizona,Zach Allen,94,DE,6-4,281,24,4,Boston College,Zach,Allen,6,4,76,,,,,
2022,New Orleans,Kiko Alonso,47,OLB,6-3,239,N/A,R,Oregon,Kiko,Alonso,6,3,75,,,,,
2022,Arizona,Stephen Anderson,89,TE,6-2,230,29,5,California,Stephen,Anderson,6,2,74,,,,,
2022,New Orleans,Josh Andrews,68,G,6-2,298,31,7,Oregon State,Josh,Andrews,6,2,74,,,,,
2022,Arizona,Marcell Ateman,84,WR,6-4,215,N/A,R,Oklahoma State,Marcell,Ateman,6,4,76,,,,,
2022,Arizona,Andre Baccellia,82,WR,5-10,175,25,1,Washington,Andre,Baccellia,5,10,70,,,,,
2022,Arizona,Budda Baker,3,S,5-10,195,26,6,Washington,Budda,Baker,5,10,70,,,,,
2022,New Orleans,Kawaan Baker,87,WR,6-1,215,23,1,South Alabama,Kawaan,Baker,6,1,73,,,,,
2022,Arizona,Darrell Baker Jr.,31,CB,6-1,190,24,R,Georgia Southern,Darrell,Baker Jr.,6,1,73,,,,,
2022,New Orleans,Zack Baun,53,LB,6-3,225,25,3,Wisconsin,Zack,Baun,6,3,75,,,,,
2022,Arizona,Kelvin Beachum,68,OL,6-3,308,33,11,Southern Methodist,Kelvin,Beachum,6,3,75,,,,,
2022,Arizona,Eno Benjamin,26,RB,5-9,207,23,3,Arizona State,Eno,Benjamin,5,9,69,,,,,
2022,New Orleans,Josh Black,57,DT,6-3,290,24,R,Syracuse,Josh,Black,6,3,75,,,,,
2022,Arizona,Victor Bolden,38,WR,5-8,178,27,3,Oregon State,Victor,Bolden,5,8,68,,,,,
2022,New Orleans,Ian Book,16,QB,6-0,206,24,2,Notre Dame,Ian,Book,6,0,72,,,,,
2022,Arizona,Breon Borders,21,CB,6-0,189,27,4,Duke,Breon,Borders,6,0,72,,,,,
2022,Arizona,Aaron Brewer,46,LS,6-5,232,32,11,San Diego State,Aaron,Brewer,6,5,77,,,,,
2022,Arizona,Nate Brooks,37,CB,6-0,192,25,1,North Texas,Nate,Brooks,6,0,72,,,,,
2022,New Orleans,Malcolm Brown,36,RB,5-11,224,29,7,Texas,Malcolm,Brown,5,11,71,,,,,
2022,Arizona,Marquise Brown,2,WR,5-9,170,25,4,Oklahoma,Marquise,Brown,5,9,69,,,,,
2022,New Orleans,Marquez Callaway,1,WR,6-2,204,24,3,Tennessee,Marquez,Callaway,6,2,74,,,,,
2022,New Orleans,Taco Charlton,54,DE,6-5,270,27,6,Michigan,Taco,Charlton,6,5,77,,,,,
2022,Arizona,Zaven Collins,25,ILB,6-4,260,23,2,Tulsa,Zaven,Collins,6,4,76,,,,,
2022,Arizona,James Conner,6,RB,6-1,233,27,6,Pittsburgh,James,Conner,6,1,73,,,,,
2022,Arizona,Nolan Cooney,15,P,6-3,202,25,1,Syracuse,Nolan,Cooney,6,3,75,,,,,
2022,Arizona,Rashaad Coward,73,OL,6-5,320,27,5,Old Dominion,Rashaad,Coward,6,5,77,,,,,
2022,Arizona,Tae Daley,48,S,5-11,201,23,R,Virginia Tech,Tae,Daley,5,11,71,,,,,
2022,New Orleans,Andy Dalton,14,QB,6-2,220,34,12,TCU,Andy,Dalton,6,2,74,,,,,
2022,New Orleans,Demario Davis,56,LB,6-2,248,33,11,Arkansas State,Demario,Davis,6,2,74,,,,,
